;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;0;0.412971429;0.07;0;
Non-renewable;Fossil fuel;GASOLINE;0.00E+00;0.3448;0.1;0.25;
Non-renewable;Fossil fuel;DIESEL;0.00E+00;0.3148;0.1;0.27;
Renewable;Biofuel;BIOETHANOL;0.00E+00;0;0.1;0.25;
Renewable;Biofuel;BIODIESEL;0.00E+00;0;0.1;0.27;
Non-renewable;Fossil fuel;LFO;0.00E+00;0.3115;0.1;0.26;
Non-renewable;Fossil fuel;GAS;0.00E+00;0.2666;0.1;0.2;
Renewable;Biofuel;JETFUEL_RE;0.00E+00;0;1;0;
Non-renewable;Fossil fuel;JETFUEL;2.73E+04;0.727;0.1;0.26;
Non-renewable;Fossil fuel;FT_FUEL;0;0.727;0.1;0.26;
Renewable;Biofuel;GAS_RE;0.00E+00;0;0.132345636;0.2;
Renewable;Biomass;WOOD;0;0.0118;0.003012369;0.38;
Renewable;Biomass;WET_BIOMASS;0;0.0118;0.005285223;0.38;
Non-renewable;Fossil fuel;COAL;0;0.4014;0.015545445;0.36;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.0039;0;
Non-renewable;Other non-renewable;WASTE;85000;0.1501;0.021187834;0.26;
Non-renewable;Other non-renewable;H2;0.00E+00;0.414044616;0.1;0;
Renewable;Biofuel;H2_RE;0.00E+00;0;0.137854413;0;
Non-renewable;Other non-renewable;AMMONIA;0.00E+00;0.285;0.1;0;
Non-renewable;Other non-renewable;METHANOL;0.00E+00;0.35;0.1;0.25;
Renewable;Biofuel;AMMONIA_RE;0.00E+00;0;0.092751343;0;
Renewable;Biofuel;METHANOL_RE;0.00E+00;0;1.5;0.24570329;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;
Others;Others;CO2_ATMOSPHERE;1.00E+15;0;0;0;
Others;Others;CO2_CENTRALISED;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
Others;Others;CO2_DECENTRALISED;0;0;0;0;
Others;Others;OTHER_GHG;0;0;0;0;
