{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar
1;1.18E-04;0.000243314;5.87E-06;0.000114155;0;0.0938;0.295731707;0.368087837;0
2;1.09E-04;0.000248138;2.35E-06;0.000114155;0;0.0968;0.300780488;0.367839696;0
3;1.07E-04;0.000246476;1.17E-06;0.000114155;0;0.1056;0.315195122;0.367610643;0
4;1.01E-04;0.000245356;1.41E-05;0.000114155;0;0.1165;0.341707317;0.367362503;0
5;9.29E-05;0.000246654;3.76E-05;0.000114155;0;0.1298;0.361292683;0.367123906;0
6;8.80E-05;0.000253887;9.40E-05;0.000114155;0;0.147;0.357609756;0.366875766;0
7;8.68E-05;0.000260615;0.0001821;0.000114155;0;0.1571;0.345731707;0.366627625;0
8;8.71E-05;0.000266209;0.000158603;0.000114155;0;0.1592;0.341365854;0.366379485;0
9;8.70E-05;0.000272212;0.000146855;0.000114155;2.70E-04;0.1447;0.343146341;0.366131344;0.000269542
10;8.53E-05;0.000276887;0.000164478;0.000114155;0.02361186;0.1183;0.327804878;0.365883204;0.02361186
11;9.12E-05;0.000266546;0.000187974;0.000114155;0.085768194;0.1233;0.302780488;0.365654151;0.085768194
12;9.87E-05;0.0002496;0.000206772;0.000114155;0.139946092;0.1462;0.301780488;0.36540601;0.139946092
13;1.08E-04;0.000231627;0.000187974;0.000114155;0.170619946;0.1666;0.306268293;0.365167414;0.170619946
14;1.16E-04;0.000220849;0.000190324;0.000114155;0.17967655;0.162;0.314658537;0.364919273;0.17967655
15;1.13E-04;0.000209055;0.000213821;0.000114155;0.162425876;0.1754;0.323365854;0.364671133;0.162425876
16;1.09E-04;0.000199884;0.00022322;0.000114155;0.114447439;0.2043;0.342804878;0.364422992;0.114447439
17;1.06E-04;0.000205478;0.00022322;0.000114155;0.049380054;0.238;0.384853659;0.364174852;0.049380054
18;1.06E-04;0.000216689;0.000164478;0.000114155;0.005336927;0.2534;0.435;0.363926711;0.005336927
19;1.14E-04;0.000235762;0.000117484;0.000114155;0.000700809;0.2587;0.474780488;0.363678571;0.000700809
20;1.19E-04;0.000237757;8.81E-05;0.000114155;5.39084E-05;0.2629;0.508829268;0.363459062;5.39084E-05
21;1.18E-04;0.000240779;5.87E-05;0.000114155;0;0.2653;0.524682927;0.363210921;0
22;1.14E-04;0.000237074;3.76E-05;0.000114155;0;0.2714;0.544878049;0.362962781;0
23;1.08E-04;0.000240569;2.35E-05;0.000114155;0;0.2786;0.565609756;0.36271464;0
24;1.15E-04;0.000240975;9.40E-06;0.000114155;0;0.2725;0.564634146;0.3624665;0
25;1.13E-04;0.000243615;5.87E-06;0.000114155;0;0.2682;0.550585366;0.362218359;0
26;1.01E-04;0.000249604;2.35E-06;0.000114155;0;0.2731;0.543463415;0.361970218;0
27;9.93E-05;0.000249006;1.17E-06;0.000114155;0;0.2805;0.545926829;0.361722078;0
28;9.42E-05;0.000248924;1.41E-05;0.000114155;0;0.2793;0.539756098;0.361502569;0
29;8.99E-05;0.000251242;3.76E-05;0.000114155;0;0.2771;0.529585366;0.361254428;0
30;8.96E-05;0.000259713;9.40E-05;0.000114155;0;0.2794;0.534243902;0.361006288;0
31;9.62E-05;0.000267557;0.0001821;0.000114155;0;0.3041;0.553243902;0.360758147;0
32;1.06E-04;0.00027416;0.000158603;0.000114155;0;0.3215;0.58497561;0.360510007;0
33;0.000115962;0.000281283;0.000146855;0.000114155;0.00032345;0.294;0.601;0.360261866;0.00032345
34;0.000120532;0.000287264;0.000164478;0.000114155;0.03115903;0.2462;0.565780488;0.360013726;0.03115903
35;0.000126155;0.000277605;0.000187974;0.000114155;0.119622642;0.2383;0.519682927;0.359765585;0.119622642
36;0.00013063;0.000260952;0.000206772;0.000114155;0.228948787;0.2707;0.478414634;0.359546076;0.228948787
37;0.000136774;0.000242792;0.000187974;0.000114155;0.308247978;0.3079;0.445926829;0.359297936;0.308247978
38;0.000141117;0.000231917;0.000190324;0.000114155;0.320700809;0.3205;0.435878049;0.359049795;0.320700809
39;0.000138139;0.000219722;0.000213821;0.000114155;0.288463612;0.3027;0.441853659;0.358801655;0.288463612
40;0.000134499;0.000210133;0.00022322;0.000114155;0.215579515;0.3239;0.460219512;0.358553514;0.215579515
41;0.000131315;0.000215915;0.00022322;0.000114155;0.110943396;0.3698;0.485926829;0.358305374;0.110943396
42;0.000130563;0.000227954;0.000164478;0.000114155;0.01671159;0.3772;0.493439024;0.358057233;0.01671159
43;0.000139253;0.000249024;0.000117484;0.000114155;0.000754717;0.3604;0.480804878;0.357809093;0.000754717
44;0.000145581;0.000252829;8.81E-05;0.000114155;5.39084E-05;0.3326;0.458926829;0.357589584;5.39084E-05
45;0.000141124;0.000258151;5.87E-05;0.000114155;0;0.3049;0.435341463;0.357341443;0
46;0.000131863;0.000256645;3.76E-05;0.000114155;0;0.2778;0.413634146;0.357093303;0
47;0.000124027;0.000263373;2.35E-05;0.000114155;0;0.2454;0.400560976;0.356845162;0
48;0.00013143;0.000267207;9.40E-06;0.000114155;0;0.2051;0.392585366;0.356597022;0
49;0.000128098;0.000273952;5.87E-06;0.000114155;0;0.1716;0.390609756;0.35644432;0
50;1.16E-04;0.000284847;2.35E-06;0.000114155;0;0.1467;0.393170732;0.35644432;0
51;1.13E-04;0.00028854;1.17E-06;0.000114155;0;0.1237;0.389682927;0.356425232;0
52;1.07E-04;0.000292568;1.41E-05;0.000114155;0;0.113;0.388317073;0.356425232;0
53;1.02E-04;0.000299345;3.76E-05;0.000114155;0;0.1074;0.395634146;0.356425232;0
54;1.00E-04;0.000313325;9.40E-05;0.000114155;0;0.1098;0.398121951;0.356425232;0
55;0.00010719;0.000326641;0.0001821;0.000114155;0;0.109;0.401878049;0.356396601;0
56;0.000118043;0.000338707;0.000158603;0.000114155;0;0.1124;0.408341463;0.356396601;0
57;0.000127386;0.000351846;0.000146855;0.000114155;3.77E-04;0.1115;0.413365854;0.356396601;0.000377358
58;0.000129955;0.000363457;0.000164478;0.000114155;0.046576819;0.112;0.392243902;0.356396601;0.046576819
59;0.00013364;0.000354486;0.000187974;0.000114155;0.188894879;0.1115;0.361268293;0.356367969;0.188894879
60;0.000135725;0.000335949;0.000206772;0.000114155;0.331967655;0.1404;0.346829268;0.356367969;0.331967655
61;0.000140289;0.00031501;0.000187974;0.000114155;0.418436658;0.1616;0.363512195;0.356367969;0.418436658
62;0.000140733;0.000302831;0.000190324;0.000114155;0.445660377;0.1751;0.401219512;0.356367969;0.445660377
63;0.000137143;0.000288143;0.000213821;0.000114155;0.410619946;0.1777;0.441292683;0.356348881;0.410619946
64;0.000133109;0.000276479;0.00022322;0.000114155;0.303989218;0.1926;0.486219512;0.356348881;0.303989218
65;0.000128796;0.000284175;0.00022322;0.000114155;0.148894879;0.2217;0.52604878;0.356348881;0.148894879
66;0.000127941;0.000298734;0.000164478;0.000114155;0.02425876;0.2431;0.538341463;0.356348881;0.02425876
67;0.00013716;0.000323673;0.000117484;0.000114155;0.001563342;0.2483;0.536512195;0.35632025;0.001563342
68;0.000144146;0.00032675;8.81E-05;0.000114155;5.39084E-05;0.2504;0.527585366;0.35632025;5.39084E-05
69;0.00013856;0.000331146;5.87E-05;0.000114155;0;0.2449;0.513878049;0.35632025;0
70;0.000129947;0.000327085;3.76E-05;0.000114155;0;0.2198;0.495463415;0.35632025;0
71;0.000121523;0.000333103;2.35E-05;0.000114155;0;0.18;0.472487805;0.356301162;0
72;0.00012915;0.000334404;9.40E-06;0.000114155;0;0.1575;0.418;0.356301162;0
73;0.000125697;0.000339191;5.87E-06;0.000114155;0;0.1476;0.375609756;0.356301162;0
74;1.14E-04;0.000348851;2.35E-06;0.000114155;0;0.1254;0.365707317;0.356301162;0
75;1.11E-04;0.000349485;1.17E-06;0.000114155;0;0.1099;0.368292683;0.35627253;0
76;1.06E-04;0.00035007;1.41E-05;0.000114155;0;0.1072;0.371780488;0.35627253;0
77;1.02E-04;0.00035327;3.76E-05;0.000114155;0;0.1104;0.377878049;0.35627253;0
78;1.01E-04;0.000364182;9.40E-05;0.000114155;0;0.1151;0.375317073;0.35627253;0
79;1.07E-04;0.000373675;0.0001821;0.000114155;0;0.1125;0.368585366;0.356243899;0
80;1.19E-04;0.000381483;0.000158603;0.000114155;0;0.1116;0.346756098;0.356243899;0
81;1.29E-04;0.000390627;0.000146855;0.000114155;4.85E-04;0.1108;0.328853659;0.356243899;0.000485175
82;0.000132167;0.000398407;0.000164478;0.000114155;0.03671159;0.1141;0.322634146;0.356243899;0.03671159
83;0.000137026;0.00038473;0.000187974;0.000114155;0.144420485;0.1247;0.302;0.356224811;0.144420485
84;0.000140073;0.000362046;0.000206772;0.000114155;0.265390836;0.1324;0.27495122;0.356224811;0.265390836
85;0.000144144;0.000337944;0.000187974;0.000114155;0.346954178;0.1402;0.267170732;0.356224811;0.346954178
86;0.000145063;0.000323916;0.000190324;0.000114155;0.385714286;0.1467;0.275756098;0.356224811;0.385714286
87;0.000140394;0.000307854;0.000213821;0.000114155;0.345336927;0.1424;0.288585366;0.356196179;0.345336927
88;0.000136099;0.000295141;0.00022322;0.000114155;0.247385445;0.1561;0.301536585;0.356196179;0.247385445
89;0.000131442;0.000303056;0.00022322;0.000114155;0.121132075;0.1925;0.328146341;0.356196179;0.121132075
90;0.000129511;0.000318101;0.000164478;0.000114155;0.021778976;0.2062;0.373634146;0.356196179;0.021778976
91;0.000137252;0.000343737;0.000117484;0.000114155;0.000754717;0.2127;0.405878049;0.356177092;0.000754717
92;0.000142853;0.000345881;8.81E-05;0.000114155;5.39084E-05;0.2131;0.413804878;0.356177092;5.39084E-05
93;0.000136794;0.000349291;5.87E-05;0.000114155;0;0.2097;0.403609756;0.356177092;0
94;0.000128113;0.000343701;3.76E-05;0.000114155;0;0.205;0.383829268;0.356177092;0
95;0.000121513;0.000348824;2.35E-05;0.000114155;0;0.1935;0.366878049;0.35614846;0
96;0.00012837;0.000348874;9.40E-06;0.000114155;0;0.1717;0.348146341;0.35614846;0
97;1.25E-04;0.000352245;5.87E-06;0.000114155;0;0.1526;0.326219512;0.35614846;0
98;1.13E-04;0.000360692;2.35E-06;0.000114155;0;0.1444;0.304243902;0.35614846;0
99;1.10E-04;0.000359795;1.17E-06;0.000114155;0;0.1484;0.289487805;0.356119828;0
100;1.03E-04;0.000358761;1.41E-05;0.000114155;0;0.1556;0.282609756;0.356119828;0
101;9.74E-05;0.000360444;3.76E-05;0.000114155;0;0.1639;0.281585366;0.356119828;0
102;9.42E-05;0.000369961;9.40E-05;0.000114155;0;0.1811;0.285170732;0.356119828;0
103;9.59E-05;0.000378057;0.0001821;0.000114155;0;0.1951;0.292487805;0.356100741;0
104;1.00E-04;0.000384254;0.000158603;0.000114155;0;0.2069;0.302219512;0.356100741;0
105;1.05E-04;0.000391616;0.000146855;0.000114155;5.39E-04;0.2001;0.303731707;0.356100741;0.000539084
106;1.09E-04;0.000397347;0.000164478;0.000114155;0.032991914;0.1791;0.288560976;0.356100741;0.032991914
107;0.000116762;0.00038161;0.000187974;0.000114155;0.144043127;0.1913;0.267365854;0.356072109;0.144043127
108;0.000122004;0.00035734;0.000206772;0.000114155;0.25638814;0.2122;0.25702439;0.356072109;0.25638814
109;0.000128619;0.000331992;0.000187974;0.000114155;0.315687332;0.2257;0.259926829;0.356072109;0.315687332
110;0.000134569;0.00031709;0.000190324;0.000114155;0.322156334;0.2277;0.273365854;0.356072109;0.322156334
111;0.000130022;0.000300458;0.000213821;0.000114155;0.294609164;0.2312;0.286804878;0.356072109;0.294609164
112;0.00012545;0.000287317;0.00022322;0.000114155;0.224097035;0.2542;0.302658537;0.356053021;0.224097035
113;0.000120863;0.000294233;0.00022322;0.000114155;0.109110512;0.2751;0.322390244;0.356053021;0.109110512
114;0.000119087;0.000307548;0.000164478;0.000114155;0.017250674;0.2795;0.333804878;0.356053021;0.017250674
115;0.000125248;0.000330734;0.000117484;0.000114155;0.0006469;0.2694;0.337146341;0.356053021;0.0006469
116;0.000131068;0.000331064;8.81E-05;0.000114155;5.39084E-05;0.2589;0.339195122;0.35602439;5.39084E-05
117;0.000127767;0.000332711;5.87E-05;0.000114155;0;0.2449;0.339878049;0.35602439;0
