Name;Color_carbon;Color_vector;Name_sankey;Color_bar_plot_1
ELECTRICITY;yellow;yellow;ELECTRICITY;yellow
GASOLINE;dimgray;dimgray;GASOLINE;dimgray
DIESEL;darkgrey;darkgrey;DIESEL;darkgrey
BIOETHANOL;black;gray;BIOETHANOL;gray
BIODIESEL;black;black;BIODIESEL;black
LFO;black;black;LFO;gray
GAS;burlywood;burlywood;GAS;slategrey
GAS_RE;teal;teal;GAS_RE;slategrey
WOOD;forestgreen;forestgreen;BIOMASS;forestgreen
WET_BIOMASS_GROWTH;lawngreen;lawngreen;WET_BIOMASS_GROWTH;forestgreen
WET_BIOMASS;lawngreen;lawngreen;WET_BIOMASS;forestgreen
COAL;black;black;COAL;black
URANIUM;black;olive;URANIUM;olive
WASTE;sienna;sienna;WASTE;brown
H2;black;cyan;H2;cyan
H2_RE;black;cyan;H2_RE;cyan
AMMONIA;darkcyan;skyblue;AMMONIA;skyblue
METHANOL;darkcyan;darkcyan;METHANOL;deepskyblue
AMMONIA_RE;darkcyan;skyblue;AMMONIA_RE;skyblue
METHANOL_RE;darkcyan;darkcyan;METHANOL_RE;slateblue
JETFUEL_RE;darkcyan;burlywood;JETFUEL_RE;burlywood
JETFUEL;orange;orange;JETFUEL;burlywood
FT_FUEL;olive;olive;FT_FUEL;olive
ELEC_EXPORT;black;white;ELEC_EXPORT;white
CO2_EMISSIONS;blue;blue;CO2_EMISSIONS;blue
RES_WIND;blue;seagreen;RES_WIND;seagreen
RES_SOLAR;blue;yellowgreen;RES_SOLAR;yellowgreen
RES_HYDRO;blue;steelblue;RES_HYDRO;steelblue
RES_GEO;blue;lightcoral;RES_GEO;lightcoral
CO2_ATMOSPHERE;blue;blue;CO2_ATMOSPHERE;blue
CO2_DECENTRALISED;purple;purple;CO2_DECENTRALISED;purple
CO2_CENTRALISED;purple;purple;CO2_CENTRALISED;purple
CO2_CAPTURED;red;red;CO2_CAPTURED;red
NUCLEAR;grey;olive;NUCLEAR;olive
CCGT;burlywood;black;CCGT;black
CCGT_AMMONIA;grey;skyblue;CCGT_AMMONIA;skyblue
COAL_US;grey;black;COAL_US;black
COAL_IGCC;grey;black;COAL_IGCC;black
PV;grey;yellowgreen;PV;yellowgreen
WIND_ONSHORE;grey;seagreen;WIND_ONSHORE;seagreen
WIND_OFFSHORE;grey;mediumseagreen;WIND_OFFSHORE;mediumseagreen
HYDRO_RIVER;grey;steelblue;HYDRO_RIVER;steelblue
GEOTHERMAL;grey;lightcoral;GEOTHERMAL;lightcoral
IND_COGEN_GAS;darkred;darkred;IND_COGEN_GAS;darkred
IND_COGEN_WOOD;darkred;darkred;IND_COGEN_WOOD;darkred
IND_COGEN_WASTE;darkred;darkred;IND_COGEN_WASTE;darkred
IND_BOILER_GAS;darkred;darkred;IND_BOILER_GAS;darkred
IND_BOILER_WOOD;darkred;darkred;IND_BOILER_BIOMASS;green
IND_BOILER_OIL;darkred;darkred;IND_BOILER_OIL;darkred
IND_BOILER_COAL;darkred;darkred;IND_BOILER_COAL;darkred
IND_BOILER_WASTE;sienna;darkred;IND_BOILER_WASTE;darkred
IND_DIRECT_ELEC;darkred;darkred;IND_DIRECT_ELEC;yellow
DHN_HP_ELEC;chocolate;chocolate;DHN_HP_ELEC;chocolate
DHN_COGEN_GAS;chocolate;chocolate;DHN_COGEN_GAS;chocolate
DHN_COGEN_WOOD;chocolate;chocolate;DHN_COGEN_WOOD;chocolate
DHN_COGEN_WASTE;chocolate;chocolate;DHN_COGEN_WASTE;chocolate
DHN_COGEN_WET_BIOMASS;chocolate;chocolate;DHN_COGEN_WET_BIOMASS;chocolate
DHN_COGEN_BIO_HYDROLYSIS;chocolate;chocolate;DHN_COGEN_BIO_HYDROLYSIS;chocolate
DHN_BOILER_GAS;chocolate;chocolate;DHN_BOILER_GAS;chocolate
DHN_BOILER_WOOD;chocolate;chocolate;DHN_BOILER_WOOD;green
DHN_BOILER_OIL;chocolate;chocolate;DHN_BOILER_OIL;chocolate
DHN_DEEP_GEO;chocolate;chocolate;DHN_DEEP_GEO;chocolate
DHN_SOLAR;chocolate;chocolate;DHN_SOLAR;yellowgreen
DEC_HP_ELEC;tomato;tomato;DEC_HP_ELEC;tomato
DEC_THHP_GAS;tomato;tomato;DEC_THHP_GAS;tomato
DEC_COGEN_GAS;tomato;tomato;DEC_COGEN_GAS;tomato
DEC_COGEN_OIL;black;tomato;DEC_COGEN_OIL;tomato
DEC_ADVCOGEN_GAS;tomato;tomato;DEC_ADVCOGEN_GAS;tomato
DEC_ADVCOGEN_H2;tomato;tomato;DEC_ADVCOGEN_H2;tomato
DEC_BOILER_GAS;tomato;tomato;DEC_BOILER_GAS;tomato
DEC_BOILER_WOOD;tomato;tomato;DEC_BOILER_BIOMASS;green
DEC_BOILER_OIL;tomato;tomato;DEC_BOILER_OIL;tomato
DEC_SOLAR;tomato;tomato;DEC_SOLAR;yellowgreen
DEC_DIRECT_ELEC;tomato;tomato;DEC_DIRECT_ELEC;yellow
HEAT_HIGH_T;papayawhip;darkred;HEAT_HIGH_T;darkred
HEAT_LOW_T_DHN;papayawhip;chocolate;HEAT_LOW_T_DHN;chocolate
HEAT_LOW_T_DECEN;papayawhip;tomato;HEAT_LOW_T_DECEN;tomato
TRAMWAY_TROLLEY;grey;violet;TRAMWAY_TROLLEY;violet
BUS_COACH_DIESEL;grey;violet;BUS_COACH_DIESEL;violet
BUS_COACH_HYDIESEL;grey;violet;BUS_COACH_HYDIESEL;violet
BUS_COACH_CNG_STOICH;burlywood;violet;BUS_COACH_CNG_STOICH;violet
BUS_COACH_FC_HYBRIDH2;grey;violet;BUS_COACH_FC_HYBRIDH2;violet
TRAIN_PUB;grey;violet;TRAIN_PUB;violet
CAR_GASOLINE;darkblue;darkblue;CAR_GASOLINE;darkblue
CAR_DIESEL;darkblue;darkblue;CAR_DIESEL;darkblue
CAR_NG;burlywood;midnightblue;CAR_NG;midnightblue
CAR_METHANOL;darkblue;darkblue;CAR_METHANOL;darkblue
CAR_HEV;darkblue;darkblue;CAR_HEV;darkblue
CAR_PHEV;darkblue;darkblue;CAR_PHEV;darkblue
CAR_BEV;darkblue;darkblue;CAR_BEV;darkblue
CAR_FUEL_CELL;darkblue;darkblue;CAR_FUEL_CELL;darkblue
PLANE;darkorange;darkorange;PLANE;darkorange
TRAIN_FREIGHT;mediumpurple;mediumpurple;TRAIN_FREIGHT;mediumpurple
BOAT_FREIGHT_DIESEL;mediumslateblue;mediumslateblue;BOAT_FREIGHT_DIESEL;mediumslateblue
BOAT_FREIGHT_NG;burlywood;mediumslateblue;BOAT_FREIGHT_NG;mediumslateblue
BOAT_FREIGHT_METHANOL;mediumslateblue;mediumslateblue;BOAT_FREIGHT_METHANOL;mediumslateblue
TRUCK_DIESEL;indigo;indigo;TRUCK_DIESEL;indigo
TRUCK_METHANOL;blueviolet;blueviolet;TRUCK_METHANOL;blueviolet
TRUCK_FUEL_CELL;blueviolet;blueviolet;TRUCK_FUEL_CELL;blueviolet
